id,book_level,vocab,english_meaning,vietnamese_meaning,word_type,component
1,Công xưởng,上班,Go to Work,"Đi làm, vào ca",Verb,上 = up/on + 班 = shift
2,Công xưởng,下班,Get Off Work,Tan làm,Verb,下 = down/off + 班 = shift
3,Công xưởng,不合格,Unqualified / Fail,Không đạt chuẩn,Adj,不 = not + 合格 = qualified
4,Công xưởng,不锈钢,Stainless Steel,Thép không gỉ,Noun,不 = not + 锈 = rust + 钢 = steel
5,Công xưởng,临时工,Temporary Worker,Công nhân thời vụ,Noun,临时 = temporary + 工 = worker
6,Công xưởng,主管,Supervisor,Quản lý bộ phận,Noun,主 = main + 管 = manage
7,Công xưởng,事假,Personal Leave,Nghỉ việc riêng,Noun,事 = personal matter + 假 = leave
8,Công xưởng,事故,Accident / Incident,"Tai nạn, sự cố",Noun,事 = matter + 故 = event
9,Công xưởng,交货,Deliver Goods,Giao hàng,Verb,交 = hand over + 货 = goods
10,Công xưởng,交货期,Delivery Deadline,Thời hạn giao hàng,Noun,交货 = deliver + 期 = deadline
11,Công xưởng,产品,Product,Sản phẩm,Noun,产 = produce + 品 = item
12,Công xưởng,产量,Output / Yield,Sản lượng,Noun,产 = produce + 量 = quantity
13,Công xưởng,仓库,Warehouse,Kho hàng,Noun,仓 = storehouse + 库 = storage
14,Công xưởng,仓库盘点,Inventory Check,Kiểm kê kho,Noun,仓库 = warehouse + 盘点 = stocktake
15,Công xưởng,仓库管理员,Warehouse Keeper,Thủ kho,Noun,仓库 = warehouse + 管理 = manage + 员 = person
16,Công xưởng,会计师,Accountant,Kế toán viên,Noun,会计 = accounting + 师 = expert
17,Công xưởng,传送带,Conveyor Belt,Băng chuyền,Noun,传送 = transport + 带 = belt
18,Công xưởng,供应,Supply,Cung ứng,Verb,供 = provide + 应 = respond
19,Công xưởng,供应链,Supply Chain,Chuỗi cung ứng,Noun,供应 = supply + 链 = chain
20,Công xưởng,保险,Insurance,Bảo hiểm,Noun,保 = protect + 险 = risk
21,Công xưởng,停机,Shut Down / Stop Machine,Dừng máy,Verb/Noun,停 = stop + 机 = machine
22,Công xưởng,冷加工,Cold Working,Gia công nguội,Noun,冷 = cold + 加工 = process
23,Công xưởng,出勤,Attendance,Đi làm đầy đủ,Noun,出 = appear + 勤 = duty
24,Công xưởng,切割机,Cutting Machine,Máy cắt,Noun,切割 = cut + 机 = machine
25,Công xưởng,制造,Manufacture,Chế tạo,Verb,制 = make + 造 = build
26,Công xưởng,加工,Process / Machining,Gia công,Verb,加 = add + 工 = work
27,Công xưởng,加班,Work Overtime,Làm thêm giờ,Verb/Noun,加 = add + 班 = work shift
28,Công xưởng,半成品,Semi-finished Product,Sản phẩm bán hoàn thành,Noun,半 = half + 成品 = finished goods
29,Công xưởng,危险,Danger,Nguy hiểm,Noun/Adj,危 = endanger + 险 = risk
30,Công xưởng,厂,Plant / Works,"Xưởng, nhà máy",Noun,厂 = building/works
31,Công xưởng,厂长,Factory Director,Giám đốc nhà máy,Noun,工厂 = factory + 长 = chief
32,Công xưởng,压力,Pressure,Áp lực,Noun,压 = press + 力 = force
33,Công xưởng,厚度,Thickness,Độ dày,Noun,厚 = thick + 度 = degree
34,Công xưởng,原料,Raw Material,Nguyên liệu,Noun,原 = original + 料 = material
35,Công xưởng,叉车,Forklift,Xe nâng hàng,Noun,插 = insert + 车 = vehicle
36,Công xưởng,发货,Ship Goods,Gửi hàng,Verb,发 = send + 货 = goods
37,Công xưởng,合同,Contract,Hợp đồng,Noun,合 = unite + 同 = same
38,Công xưởng,合同工,Contract Worker,Công nhân hợp đồng,Noun,合同 = contract + 工 = worker
39,Công xưởng,合格,Qualified / Pass,Đạt chuẩn,Adj,合 = fit + 格 = standard
40,Công xưởng,合格率,Pass Rate,Tỷ lệ đạt chuẩn,Noun,合格 = pass + 率 = rate
41,Công xưởng,合格率,Acceptance Rate,Tỷ lệ sản phẩm đạt,Noun,合格 = qualified + 率 = rate
42,Công xưởng,启动,Start / Launch,Khởi động,Verb,启 = open + 动 = move
43,Công xưởng,喷漆,Spray Paint,Phun sơn,Verb,喷 = spray + 漆 = paint
44,Công xưởng,噪音,Noise,Tiếng ồn,Noun,噪 = noise + 音 = sound
45,Công xưởng,回收,Recycle / Retrieve,"Thu hồi, tái chế",Verb,回 = return + 收 = collect
46,Công xưởng,型号,Model / Type,"Kiểu mẫu, mã hiệu",Noun,型 = mold + 号 = number
47,Công xưởng,培训,Training,Đào tạo,Noun/Verb,培 = cultivate + 训 = drill
48,Công xưởng,塑料,Plastic,Nhựa,Noun,塑 = mold + 料 = material
49,Công xưởng,奖金,Bonus,"Thưởng, phụ cấp",Noun,奖 = prize + 金 = money
50,Công xưởng,学徒,Apprentice,Người học việc,Noun,学 = learn + 徒 = disciple
51,Công xưởng,安全,Safety,An toàn,Noun/Adj,安 = peace + 全 = complete
52,Công xưởng,安全带,Safety Belt,Dây an toàn,Noun,安全 = safe + 带 = belt
53,Công xưởng,安全帽,Safety Helmet,Mũ bảo hộ,Noun,安全 = safety + 帽 = hat
54,Công xưởng,安排,Arrange,Sắp xếp,Verb,安 = set + 排 = arrange
55,Công xưởng,小心滑倒,Caution Wet Floor,Cẩn thận trượt,Phrase,小心 = careful + 滑 = slip + 倒 = fall
56,Công xưởng,尺寸,Dimensions,Kích thước,Noun,尺 = ruler + 寸 = inch
57,Công xưởng,工人,Worker,Công nhân,Noun,工 = work + 人 = person
58,Công xưởng,工具,Tool,Dụng cụ,Noun,工 = work + 具 = implement
59,Công xưởng,工厂,Factory,"Nhà máy, công xưởng",Noun,工 = worker + 厂 = facility
60,Công xưởng,工序,Working Procedure,Công đoạn,Noun,工 = work + 序 = sequence
61,Công xưởng,工程师,Engineer,Kỹ sư,Noun,工 = skill + 程 = process + 师 = expert
62,Công xưởng,工艺流程,Process Flow,Quy trình công nghệ,Noun,工艺 = technology + 流程 = flow
63,Công xưởng,工资,Wage / Salary,Lương,Noun,工 = work + 资 = fund
64,Công xưởng,工龄,Years of Service,Thâm niên,Noun,工 = work + 龄 = age
65,Công xưởng,库存,Inventory / Stock,Tồn kho,Noun,库 = warehouse + 存 = store
66,Công xưởng,应急出口,Emergency Exit,Lối thoát hiểm,Noun,应急 = emergency + 出口 = exit
67,Công xưởng,废料,Scrap / Waste Material,Phế liệu,Noun,废 = waste + 料 = material
68,Công xưởng,废气,Exhaust Gas,Khí thải,Noun,废 = waste + 气 = gas
69,Công xưởng,废水,Wastewater,Nước thải,Noun,废 = waste + 水 = water
70,Công xưởng,强度,Strength,Độ bền,Noun,强 = strong + 度 = degree
71,Công xưởng,急救,First Aid,Cấp cứu,Noun,紧 = urgent + 救 = rescue
72,Công xưởng,成品,Finished Product,Sản phẩm hoàn chỉnh,Noun,成 = complete + 品 = product
73,Công xưởng,成本,Cost,"Chi phí, giá thành",Noun,成 = complete + 本 = root
74,Công xưởng,成本控制,Cost Control,Kiểm soát chi phí,Noun,成本 = cost + 控制 = control
75,Công xưởng,打包机,Baler / Packing Machine,Máy đóng gói,Noun,打包 = pack + 机 = machine
76,Công xưởng,扳手,Wrench / Spanner,Cờ lê,Noun,扳 = pull/turn + 手 = hand
77,Công xưởng,批准,Approve,Phê duyệt,Verb,批 = comment + 准 = approve
78,Công xưởng,技工,Skilled Worker,Công nhân kỹ thuật,Noun,技 = skill + 工 = worker
79,Công xưởng,技术员,Technician,Nhân viên kỹ thuật,Noun,技术 = technique + 员 = person
80,Công xưởng,抛光,Polishing,Đánh bóng,Verb,抛 = throw + 光 = light
81,Công xưởng,报废,Scrap / Discard,"Loại bỏ, thanh lý",Verb,报 = report + 废 = scrap
82,Công xưởng,报表,Report Form,Báo cáo,Noun,报 = report + 表 = form
83,Công xưởng,抽样检验,Sampling Inspection,Kiểm tra lấy mẫu,Noun,抽样 = sample + 检验 = inspect
84,Công xưởng,拉力,Tensile Force,Lực kéo,Noun,拉 = pull + 力 = force
85,Công xưởng,持续改进,Continuous Improvement,Cải tiến liên tục,Noun,持续 = continuous + 改进 = improve
86,Công xưởng,损耗,Loss / Waste,Hao hụt,Noun,损 = damage + 耗 = consume
87,Công xưởng,操作,Operate / Manipulate,"Vận hành, thao tác",Verb,操 = handle + 作 = do
88,Công xưởng,操作员,Operator,Người vận hành máy,Noun,操作 = operate + 员 = person
89,Công xưởng,操作规程,Operating Procedures,Quy trình vận hành,Noun,操作 = operate + 规程 = rules
90,Công xưởng,收货,Receive Goods,Nhận hàng,Verb,收 = receive + 货 = goods
91,Công xưởng,故障,Breakdown / Fault,"Hỏng hóc, sự cố",Noun,故 = incident + 障 = obstacle
92,Công xưởng,效率,Efficiency,Hiệu suất,Noun,效 = effective + 率 = rate
93,Công xưởng,效率提升,Efficiency Boost,Nâng cao hiệu suất,Noun,效率 = efficiency + 提升 = improve
94,Công xưởng,数据分析,Data Analysis,Phân tích dữ liệu,Noun,数据 = data + 分析 = analyze
95,Công xưởng,早退,Leave Early,Về sớm,Verb,早 = early + 退 = leave
96,Công xưởng,旷工,Absenteeism,Nghỉ không phép,Noun,矿 = mine (analogy: absent)
97,Công xưởng,晋升,Promotion,Thăng chức,Noun/Verb,晋 = advance + 升 = rise
98,Công xưởng,机器,Machine,Máy móc,Noun,木 = wood + 几 = table/stand
99,Công xưởng,材料,Material,Nguyên vật liệu,Noun,木 = wood + 才 = material
100,Công xưởng,标准,Standard,Tiêu chuẩn,Noun,标 = mark + 准 = criterion
101,Công xưởng,标准化,Standardization,Tiêu chuẩn hóa,Noun,标准 = standard + 化 =-ize
102,Công xưởng,树脂,Resin,Nhựa thông,Noun,树 = tree + 脂 = fat/resin
103,Công xưởng,校准,Calibrate,Hiệu chuẩn,Verb,校 = check + 准 = standard
104,Công xưởng,检查,Inspect / Check,Kiểm tra,Verb,检 = examine + 查 = investigate
105,Công xưởng,检验,Inspect / Test,"Kiểm tra, nghiệm thu",Verb,检 = check + 验 = examine
106,Công xưởng,模具,Mold / Die,Khuôn mẫu,Noun,木 = wood + 具 = tool
107,Công xưởng,橡胶,Rubber,Cao su,Noun,木 = wood + 象 + 欠
108,Công xưởng,次品率,Defect Rate,Tỷ lệ sản phẩm lỗi,Noun,次 = defective + 品 = item + 率 = rate
109,Công xưởng,步骤,Step / Procedure,Bước,Noun,步 = pace + 骤 = quick
110,Công xưởng,污染,Pollution,Ô nhiễm,Noun/Verb,污 = dirty + 染 = infect
111,Công xưởng,注意,Pay Attention,Chú ý,Verb,注 = focus + 意 = mind
112,Công xưởng,流程,Process / Flow,Quy trình,Noun,流 = flow + 程 = course
113,Công xưởng,涂料,Coating,"Chất phủ, sơn",Noun,涂 = spread + 料 = material
114,Công xưởng,消防,Firefighting,Phòng cháy chữa cháy,Noun,消 = extinguish + 防 = prevent
115,Công xưởng,清洁,Clean / Cleanliness,"Vệ sinh, sạch sẽ",Adj/Verb,清 = clear + 洁 = pure
116,Công xưởng,温度,Temperature,Nhiệt độ,Noun,温 = warm + 度 = degree
117,Công xưởng,湿度,Humidity,Độ ẩm,Noun,湿 = damp + 度 = degree
118,Công xưởng,灭火器,Fire Extinguisher,Bình chữa cháy,Noun,灭火 = put out fire + 器 = device
